Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
368,84.34,0.38,83.16,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
369,85.94,0.21,83.39,1.55,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
370,88.8,0.34,83.05,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
371,91.22,0.23,83.05,1.15,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
372,93.24,0.27,82.94,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
373,94.42,0.26,83.28,1.36,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
374,98.79,0.12,82.71,1.41,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
375,98.93,0.09,82.26,1.17,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
376,84.34,0.38,83.16,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
377,85.94,0.21,83.39,1.55,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
378,88.83,0.35,83.05,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
379,91.22,0.25,82.94,1.22,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
380,93.24,0.27,82.94,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
381,94.42,0.26,83.28,1.36,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
382,98.79,0.12,82.83,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
383,98.93,0.09,82.26,1.17,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
